MSSubClass,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,WoodDeckSF,YrSold,SalePrice
90,8472,IDOTRR,5,5,1963,1963,0,816,GasA,816,0,816,1,5,2,516,106,2010,110000.00
20,50271,Veenker,9,5,1981,1987,32,1842,GasA,1842,0,1842,0,5,3,894,857,2006,385000.00
80,7134,NAmes,5,5,1955,1955,0,384,GasA,1360,0,1360,1,6,2,572,0,2007,130000.00
20,10175,NAmes,6,5,1964,1964,935,1425,GasA,1425,0,1425,2,7,2,576,0,2008,180500.00
160,2645,Somerst,8,5,1999,2000,321,970,GasA,983,756,1739,2,7,2,480,115,2009,172500.00
60,11645,CollgCr,7,5,2004,2004,860,860,GasA,860,860,1720,2,7,2,565,0,2006,196500.00
60,13682,StoneBr,10,5,2006,2006,1410,1410,GasA,1426,1519,2945,3,10,3,641,192,2006,438780.00
20,7200,CollgCr,5,7,1972,1972,148,780,GasA,780,0,780,1,4,1,352,196,2008,124900.00
20,13072,SawyerW,6,5,2004,2004,217,1158,GasA,1158,0,1158,1,5,2,576,0,2006,158000.00
75,7200,IDOTRR,5,7,1920,1996,530,530,GasA,581,530,1111,1,6,1,288,0,2007,101000.00
120,6442,NridgHt,8,5,2006,2006,1346,1370,GasA,1370,0,1370,2,6,2,484,120,2007,202500.00
70,10300,OldTown,7,6,1921,1950,576,576,GasA,902,808,1710,2,9,2,480,12,2010,140000.00
60,9375,CollgCr,7,5,1997,1998,318,1057,GasA,1057,977,2034,2,8,2,645,576,2009,219500.00
60,9591,NridgHt,8,5,2004,2005,1143,1143,GasA,1143,1330,2473,2,9,3,852,192,2007,317000.00
20,19900,NAmes,7,5,1970,1989,1035,1947,GasA,2207,0,2207,2,7,2,576,301,2010,180000.00
20,10665,CollgCr,7,5,2003,2003,440,1453,GasA,1479,0,1479,2,7,2,558,144,2007,226000.00
30,4608,OldTown,4,6,1945,1950,747,747,GasA,747,0,747,1,4,1,220,0,2010,80000.00
50,15593,ClearCr,7,4,1953,1953,701,1304,GasW,1304,983,2287,2,7,2,667,0,2006,225000.00
20,13651,NAmes,7,6,1973,1973,343,2223,GasA,2223,0,2223,2,8,2,516,300,2007,244000.00
20,7599,Mitchel,4,6,1982,2006,280,845,GasA,845,0,845,1,4,2,360,0,2007,129500.00
60,10141,Gilbert,7,5,1998,1998,832,832,GasA,885,833,1718,2,7,2,427,0,2009,185000.00
20,10200,NAmes,5,7,1954,2003,404,1086,GasA,1086,0,1086,1,6,2,490,0,2010,144900.00
50,5790,OldTown,3,6,1915,1950,840,840,GasA,840,765,1605,2,8,1,379,0,2010,107400.00
180,1596,MeadowV,4,5,1973,1973,0,462,GasA,526,462,988,1,5,1,297,120,2009,91000.00
20,8475,NAmes,4,7,1956,1956,724,952,GasA,952,0,952,1,4,1,283,0,2008,135750.00
50,8635,BrkSide,5,5,1948,2001,295,672,GasA,1072,213,1285,1,6,1,240,0,2008,127000.00
90,10778,Sawyer,4,5,1968,1968,1768,1768,GasA,1768,0,1768,2,8,0,0,0,2010,136500.00
50,10440,OldTown,5,6,1910,1981,440,440,GasA,682,548,1230,1,5,2,440,74,2009,110000.00
60,13000,NAmes,6,6,1968,1968,448,896,GasA,1182,960,2142,2,8,1,509,0,2009,193500.00
120,4500,Mitchel,6,5,1998,1998,36,1237,GasA,1337,0,1337,2,5,2,405,0,2006,153500.00
20,10206,Somerst,8,5,2007,2007,1530,1563,GasA,1563,0,1563,2,6,3,758,144,2008,245000.00
20,8892,NAmes,5,5,1960,1960,1065,1065,GasA,1065,0,1065,1,6,2,461,74,2007,126500.00
80,8530,Gilbert,7,5,1995,1996,384,384,GasA,804,670,1474,2,7,2,400,120,2009,168500.00
60,16059,NoRidge,8,5,1991,1992,1288,1288,GasA,1301,1116,2417,2,9,2,462,127,2006,260000.00
60,11911,Gilbert,6,5,2005,2005,684,684,GasA,684,876,1560,2,6,2,400,100,2009,174000.00
160,3951,Somerst,6,5,2009,2009,612,612,GasA,612,612,1224,2,4,2,528,0,2009,164500.00
50,8470,IDOTRR,3,2,1915,1982,1013,1013,GasA,1013,0,1526,1,6,0,0,0,2009,85000.00
20,8070,CollgCr,4,5,1994,1995,402,990,GasA,990,0,990,1,5,0,0,0,2007,123600.00
20,7200,NAmes,4,5,1950,1950,0,0,GasA,1040,0,1040,1,4,2,420,0,2006,109900.00
20,8500,NAmes,5,3,1961,1961,635,1235,GasA,1235,0,1235,1,6,2,480,0,2006,98600.00
30,13360,Crawfor,5,7,1921,2006,163,876,GasA,964,0,964,1,5,2,432,0,2009,163500.00
190,7200,OldTown,6,6,1910,1998,168,1214,GasW,1260,1031,2291,2,9,2,506,0,2007,133900.00
60,9337,CollgCr,6,5,1997,1997,176,824,GasA,905,881,1786,2,7,2,684,0,2007,204750.00
60,9765,Gilbert,6,8,1993,1993,370,680,GasA,680,790,1470,2,6,2,420,232,2009,185000.00
20,10264,CollgCr,7,5,1999,1999,426,1588,GasA,1588,0,1588,2,6,2,472,158,2006,214000.00
20,10921,Edwards,4,5,1965,1965,440,960,GasA,960,0,960,1,6,1,432,120,2007,94750.00
30,10625,Edwards,5,5,1920,1950,350,458,GasA,835,0,835,1,5,1,366,0,2010,83000.00
20,9320,NAmes,4,5,1959,1959,381,950,GasA,1225,0,1225,1,6,0,0,352,2010,128950.00
20,10603,NWAmes,6,7,1977,2001,410,1610,GasA,1610,0,1610,2,6,2,480,168,2010,205000.00
60,9206,SawyerW,6,5,1985,1985,741,741,GasA,977,755,1732,2,7,2,476,192,2010,178000.00
90,7018,SawyerW,5,5,1979,1979,0,0,GasA,1535,0,1535,2,8,2,410,0,2009,118964.00
20,10402,CollgCr,7,5,2009,2009,1226,1226,GasA,1226,0,1226,2,6,3,740,0,2010,198900.00
50,7758,IDOTRR,7,4,1931,1950,816,1040,GasA,1226,592,1818,1,7,1,240,0,2007,169500.00
60,9375,Somerst,8,5,2003,2004,1053,1053,GasA,1053,939,1992,2,9,2,648,140,2008,250000.00
30,10800,OldTown,4,7,1885,1995,641,641,GasA,1047,0,1047,1,6,1,273,0,2007,100000.00
20,6000,OldTown,5,5,1948,1950,516,789,GasA,789,0,789,1,5,1,250,0,2008,115000.00
50,8500,IDOTRR,5,7,1919,2005,793,793,GasW,997,520,1517,2,7,0,0,0,2007,115000.00
20,11751,NWAmes,6,6,1977,1977,1139,1844,GasA,1844,0,1844,2,7,2,546,0,2010,190000.00
50,9525,Edwards,6,4,1954,1972,550,994,GasA,1216,639,1855,2,7,1,325,182,2006,136900.00
80,7750,Gilbert,7,5,2000,2000,134,384,GasA,774,656,1430,2,7,2,400,180,2010,180000.00
60,9965,CollgCr,7,5,2007,2007,280,1264,GasA,1282,1414,2696,2,10,3,792,120,2007,383970.00
20,21000,Crawfor,6,5,1953,1953,905,1809,GasA,2259,0,2259,2,7,2,450,166,2007,217000.00
70,7259,Crawfor,6,8,1945,2002,104,1028,GasA,1436,884,2320,2,9,1,180,224,2007,259500.00
160,3230,Somerst,6,5,1999,1999,310,729,GasA,729,729,1458,2,5,2,440,0,2007,176000.00
20,11616,Sawyer,5,5,1962,1962,252,1092,GasA,1092,0,1092,1,6,1,288,0,2009,139000.00
20,8536,Edwards,5,5,2006,2007,1125,1125,GasA,1125,0,1125,1,5,2,430,80,2007,155000.00
60,12376,SawyerW,7,5,1990,1990,203,1673,GasA,1699,1523,3222,3,11,3,594,367,2010,320000.00
60,8461,CollgCr,6,5,2005,2006,728,728,GasA,728,728,1456,2,8,2,390,0,2006,163990.00
80,21453,ClearCr,6,5,1969,1969,0,938,GasA,988,0,988,1,4,2,540,0,2006,180000.00
50,6060,IDOTRR,4,5,1939,1950,732,732,GasA,772,351,1123,1,4,1,264,0,2007,100000.00
20,9464,NAmes,6,7,1958,1958,510,1080,GasA,1080,0,1080,1,5,1,288,0,2008,136000.00
120,7892,SawyerW,6,5,1993,1993,899,1199,GasA,1199,0,1199,2,5,2,530,0,2008,153900.00
20,17043,NWAmes,6,5,1979,1998,1362,1362,GasA,1586,0,1586,2,7,2,435,192,2009,181000.00
190,6780,IDOTRR,6,8,1935,1982,30,520,GasA,520,0,754,1,5,0,0,53,2006,84500.00
120,4928,NPkVill,6,5,1976,1976,958,1078,GasA,958,0,958,2,5,2,440,0,2007,128000.00
45,4388,OldTown,5,7,1930,1950,556,672,GasA,840,0,840,1,5,0,0,0,2007,87000.00
60,7590,NAmes,6,5,1966,1966,148,660,GasA,660,688,1348,1,6,2,453,188,2006,155000.00
20,8973,NAmes,5,7,1958,1991,413,1008,GasA,1053,0,1053,1,6,2,750,0,2006,150000.00
60,14200,NAmes,7,6,1966,1966,479,924,GasA,1216,941,2157,2,8,2,487,105,2006,226000.00
60,12224,Gilbert,6,5,2000,2000,297,992,GasA,1022,1032,2054,2,7,2,390,24,2009,244000.00
20,7388,NAmes,5,6,1959,2002,658,1063,GasA,1327,0,1327,1,7,2,624,0,2007,150750.00
20,6853,Timber,8,5,2001,2002,262,1267,GasA,1296,0,1296,2,6,2,471,192,2009,220000.00
20,10335,Sawyer,5,6,1968,1993,891,1461,GasA,1721,0,1721,2,7,2,440,0,2006,180000.00
20,10400,NWAmes,7,6,1970,1970,1304,1304,GasA,1682,0,1682,2,7,2,530,98,2008,174000.00
20,10355,NAmes,5,5,1967,1967,519,1214,GasA,1214,0,1214,2,5,1,318,0,2007,143000.00
90,11070,Mitchel,7,5,1988,1989,1907,1907,GasA,1959,0,1959,3,9,3,766,0,2006,171000.00
60,9066,CollgCr,8,5,1999,2000,336,1004,GasA,1004,848,1852,2,7,3,660,224,2008,230000.00
60,15426,CollgCr,6,5,1997,1997,107,928,GasA,928,836,1764,2,7,2,470,276,2009,231500.00
20,10500,NAmes,4,5,1971,1971,432,864,GasA,864,0,864,1,5,0,0,0,2010,115000.00
20,11645,CollgCr,7,5,2005,2005,434,1734,GasA,1734,0,1734,2,7,2,660,160,2006,260000.00
50,8520,NAmes,5,4,1952,1952,403,910,GasA,910,475,1385,2,6,2,720,0,2010,166000.00
20,10335,CollgCr,7,5,1999,1999,811,1490,GasA,1501,0,1501,2,6,2,577,144,2009,204000.00
90,9100,Sawyer,5,5,1963,1963,396,1728,GasA,1728,0,1728,2,10,2,504,0,2006,125000.00
160,2522,Edwards,6,5,2004,2006,970,970,GasA,970,739,1709,2,7,2,380,0,2006,130000.00
30,6120,BrkSide,5,7,1931,1993,506,715,GasA,875,0,875,1,5,1,180,48,2009,105000.00
60,9505,Gilbert,7,5,2001,2001,884,884,GasA,884,1151,2035,2,8,2,434,144,2010,222500.00
20,7500,SawyerW,7,5,2004,2005,400,1080,GasA,1080,0,1080,1,6,0,0,0,2008,141000.00
50,6240,BrkSide,5,4,1936,1950,896,896,GasA,896,448,1344,1,7,1,240,200,2006,115000.00
20,10356,CollgCr,5,6,1975,1975,253,969,GasA,969,0,969,1,5,2,440,0,2007,122000.00
20,13891,NridgHt,8,5,2007,2008,310,1710,GasA,1710,0,1710,2,6,3,866,0,2008,372402.00
60,14803,NWAmes,6,5,1971,1971,409,825,GasA,1097,896,1993,2,8,2,495,0,2006,190000.00
20,13500,ClearCr,6,7,1960,1975,93,1602,GasA,1252,0,1252,1,4,2,564,409,2008,235000.00
30,11340,OldTown,6,5,1923,1950,1200,1200,GasA,1200,0,1200,1,7,1,312,0,2006,125000.00
50,9600,Edwards,6,5,1924,1950,572,572,Grav,572,524,1096,1,5,0,0,0,2008,79000.00
20,7200,NAmes,5,7,1950,1950,0,0,GasA,1040,0,1040,1,5,2,625,0,2006,109500.00
60,12003,Timber,8,5,2009,2010,774,774,GasA,774,1194,1968,2,8,3,680,0,2010,269500.00
60,12552,Somerst,7,5,2004,2005,769,991,GasA,991,956,1947,2,8,2,678,0,2010,254900.00
60,19378,Gilbert,7,5,2005,2006,1335,1392,GasA,1392,1070,2462,2,9,2,576,239,2006,320000.00
20,11120,Veenker,6,6,1984,1984,572,1232,GasA,1232,0,1232,2,6,2,516,0,2008,162500.00
60,13688,NridgHt,9,5,2003,2004,556,1572,GasA,1572,1096,2668,2,10,3,726,400,2008,412500.00
20,12182,NridgHt,7,5,2005,2005,340,1541,GasA,1541,0,1541,2,7,2,532,0,2010,220000.00
45,5500,OldTown,4,6,1956,1956,882,882,GasA,882,0,882,1,4,0,0,0,2007,103200.00
40,5400,OldTown,6,7,1926,2004,779,1149,GasA,1149,467,1616,2,5,1,216,0,2007,152000.00
190,10106,Edwards,5,7,1940,1999,112,644,GasA,808,547,1355,2,6,0,0,140,2008,127500.00
20,10708,ClearCr,5,5,1955,1993,470,1617,GasA,1867,0,1867,1,7,1,303,476,2009,190000.00
60,10562,NridgHt,8,5,2007,2007,294,1582,GasA,1610,551,2161,1,8,3,789,178,2007,325624.00
60,8244,Gilbert,7,5,2004,2004,840,840,GasA,840,880,1720,2,7,2,440,100,2007,183500.00
20,16669,Timber,8,6,1981,1981,1686,1686,GasA,1707,0,1707,2,6,2,511,574,2006,228000.00
50,12358,OldTown,5,6,1941,1950,360,720,GasA,854,0,1382,1,7,2,660,237,2007,128500.00
20,31770,NAmes,6,5,1960,1960,441,1080,GasA,1656,0,1656,1,7,2,528,210,2010,215000.00
160,5306,StoneBr,7,7,1987,1987,354,1064,GasA,1064,703,1767,2,5,2,504,441,2006,239000.00
20,10197,NAmes,6,5,1961,1961,700,1362,GasA,1362,0,1362,1,6,2,504,0,2008,163000.00
20,12416,Timber,6,5,1986,1986,0,1606,GasA,1651,0,1651,2,7,2,616,192,2008,184000.00
20,12615,Edwards,6,7,1950,2001,725,1202,GasA,2158,0,2158,2,7,2,576,0,2007,243000.00
60,10029,ClearCr,6,5,1988,1989,320,1151,GasA,1164,896,2060,2,8,2,521,0,2007,211000.00
50,13650,Sawyer,5,5,1958,1958,554,1052,GasA,1252,668,1920,2,8,2,451,0,2006,172500.00
20,17423,StoneBr,9,5,2008,2009,312,2216,GasA,2234,0,2234,2,9,3,1166,0,2009,501837.00
30,8520,OldTown,5,6,1923,2006,968,968,GasA,968,0,968,1,5,2,480,0,2007,100000.00
160,2117,Somerst,6,5,2000,2000,320,756,GasA,769,756,1525,2,5,2,440,0,2007,177000.00
70,7588,Crawfor,7,6,1920,1950,441,793,GasA,901,901,1802,1,9,1,216,0,2006,200100.00
20,9060,Edwards,5,6,1957,2006,0,0,GasA,1340,0,1340,1,7,1,252,116,2007,120000.00
50,11426,OldTown,7,5,2003,2003,1362,1362,GasA,1362,720,2082,2,6,2,484,280,2008,200000.00
50,7438,BrkSide,5,8,1908,1991,504,504,GasA,936,316,1252,1,5,2,576,104,2006,127000.00
75,22950,OldTown,10,9,1892,1993,1107,1107,GasA,1518,1518,3608,2,12,3,840,0,2006,475000.00
80,9947,Mitchel,7,5,1990,1991,577,1188,GasA,1217,0,1217,2,6,2,497,168,2009,173000.00
50,10410,OldTown,5,7,1916,1987,660,660,GasA,808,704,1656,2,8,1,180,0,2009,135000.00
90,7018,SawyerW,5,5,1979,1979,0,1086,GasA,1224,0,1224,0,6,2,528,120,2009,153337.00
120,4923,StoneBr,8,5,2001,2002,440,1593,GasA,1593,0,1593,1,5,2,682,0,2008,286000.00
70,10570,Crawfor,8,8,1932,1994,556,853,GasA,1549,1178,2727,2,10,2,440,0,2007,315000.00
60,7472,NAmes,7,9,1972,2004,99,725,GasA,725,754,1479,1,7,2,484,0,2007,184000.00
20,9017,CollgCr,7,5,1999,1999,871,1431,GasA,1431,0,1431,2,6,2,666,0,2009,192000.00
160,2522,Edwards,7,5,2004,2004,970,970,GasA,970,739,1709,2,7,2,380,0,2006,130000.00
20,7180,CollgCr,5,7,1972,1972,474,864,GasA,864,0,864,1,5,1,352,0,2008,127000.00
160,2280,NPkVill,6,6,1976,1976,289,855,GasA,855,601,1456,2,7,2,440,87,2009,148500.00
20,9416,Somerst,7,5,2007,2007,600,1726,GasA,1726,0,1726,2,8,3,786,171,2007,311872.00
75,25419,NAmes,8,4,1918,1990,140,1360,GasA,1360,1360,3112,2,8,2,795,0,2006,235000.00
75,5520,OldTown,6,6,1912,1950,755,755,GasA,929,929,2229,1,8,0,0,0,2009,104000.00
20,9591,NridgHt,8,5,2004,2005,625,1713,GasA,1713,0,1713,2,7,3,856,0,2009,274900.00
20,8546,Edwards,4,5,2003,2004,1121,1121,GasA,1121,0,1121,2,5,2,440,132,2010,140000.00
20,10125,Mitchel,6,6,1977,1977,276,1196,GasA,1279,0,1279,2,6,2,473,238,2008,171500.00
50,7000,OldTown,6,6,1924,1950,0,617,GasA,865,445,1310,2,6,1,398,0,2006,112000.00
120,4438,CollgCr,6,5,2004,2004,186,848,GasA,848,0,848,1,3,2,420,149,2008,149000.00
50,3500,OldTown,5,7,1947,1950,408,720,GasA,720,564,1284,1,5,1,240,0,2009,110000.00
20,11851,Gilbert,7,5,1990,1990,1424,1424,GasA,1442,0,1442,2,5,2,500,0,2009,180500.00
20,13673,Sawyer,5,5,1962,1962,1140,1140,GasA,1696,0,1696,1,8,1,349,0,2007,143900.00
20,12493,NAmes,4,5,1960,1960,375,1100,GasA,1100,0,1100,1,6,1,312,355,2008,141000.00
60,14364,SawyerW,7,5,1988,1989,92,1157,GasA,1180,882,2062,2,7,2,454,60,2007,277000.00
20,8250,NAmes,6,7,1964,1964,305,1092,GasA,1092,0,1092,1,6,2,504,0,2008,145000.00
30,5604,Edwards,5,6,1925,1950,396,864,GasA,864,0,864,1,5,0,0,0,2008,98000.00
20,10420,Edwards,6,5,2009,2009,1176,1212,GasA,1212,0,1212,2,6,2,460,100,2010,186000.00
60,8640,Somerst,7,5,2009,2009,78,900,GasA,932,920,1852,2,7,2,644,168,2009,252678.00
20,13568,CollgCr,5,5,1995,1995,274,990,GasA,990,0,990,1,5,2,576,224,2006,156000.00
60,10900,CollgCr,6,7,1977,1977,311,689,GasA,689,703,1392,1,6,1,299,0,2010,161750.00
20,10011,NAmes,5,6,1957,1996,710,1070,GasA,1236,0,1236,1,6,1,447,0,2006,134450.00
20,8450,CollgCr,7,5,2004,2004,490,1436,GasA,1436,0,1436,2,8,2,484,139,2008,210000.00
70,9906,OldTown,4,4,1925,1950,686,686,GasA,810,518,1328,1,8,1,210,0,2006,107000.00
50,15660,Crawfor,7,9,1939,2006,457,798,GasA,1137,817,1954,1,8,2,431,0,2008,311500.00
120,3010,Blmngtn,7,5,2005,2006,1232,1248,GasA,1248,0,1248,2,5,2,438,108,2006,167240.00
20,8990,CollgCr,7,5,2006,2006,1498,1498,GasA,1498,0,1498,2,5,2,675,351,2006,204900.00
60,8068,Gilbert,6,5,2002,2002,1010,1010,GasA,1010,1257,2267,2,8,2,390,120,2009,200000.00
60,11475,NWAmes,6,6,1975,1975,163,713,GasA,811,741,1552,2,6,2,434,209,2006,179900.00
20,10500,NAmes,4,6,1971,1971,160,864,GasA,864,0,864,1,4,2,576,216,2009,97000.00
20,13472,NridgHt,10,5,2003,2003,2336,2392,GasA,2392,0,2392,2,8,3,968,248,2009,386250.00
160,1680,BrDale,5,5,1971,1971,630,630,GasA,630,672,1302,2,6,1,280,0,2009,112000.00
60,9950,NoRidge,7,5,1995,1995,638,1203,GasA,1214,1306,2520,2,9,3,721,224,2007,290000.00
160,1869,BrDale,6,6,1970,1970,162,483,GasA,483,504,987,1,5,1,280,0,2008,106000.00
20,8521,Sawyer,5,5,1967,1967,70,912,GasA,912,0,912,1,5,1,336,0,2010,125000.00
120,3182,Blmngtn,7,5,2005,2006,1357,1373,GasA,1555,0,1555,2,7,2,430,143,2009,192500.00
20,8760,NAmes,6,6,1959,1959,1194,1194,GasA,1194,0,1194,1,6,1,312,0,2010,148000.00
60,15138,NoRidge,8,5,1995,1996,773,1462,GasA,1490,1304,2794,2,9,3,810,0,2009,403000.00
160,1680,BrDale,6,5,1972,1972,483,483,GasA,483,504,987,1,5,1,288,0,2006,94500.00
20,10650,CollgCr,5,6,1976,1976,0,894,GasA,894,0,894,1,5,1,308,365,2010,128200.00
60,7851,Gilbert,6,5,2002,2002,235,860,GasA,860,1100,1960,2,8,2,440,288,2010,216500.00
160,1680,BrDale,6,3,1971,1971,125,483,GasA,483,504,987,1,5,1,264,0,2008,89500.00
20,8773,CollgCr,7,5,2004,2004,1390,1414,GasA,1414,0,1414,2,6,2,494,132,2010,185500.00
60,9453,SawyerW,7,7,1993,2003,594,996,GasA,1014,730,1744,2,7,2,457,370,2010,194500.00
20,12030,NridgHt,8,5,2007,2007,1694,1694,GasA,1694,0,1694,2,7,3,818,168,2007,318000.00
50,8741,Edwards,6,4,1945,1950,641,735,GasA,798,689,1487,1,7,1,220,0,2010,113000.00
20,9000,Somerst,8,5,2008,2008,488,1566,GasA,1566,0,1566,2,7,2,750,144,2010,262500.00
30,3880,OldTown,5,9,1945,1997,357,686,GasA,866,0,866,1,4,0,0,58,2007,110500.00
50,5000,OldTown,5,4,1900,1950,540,540,GasA,889,551,1440,1,6,1,352,0,2006,79000.00
160,10762,SawyerW,6,6,1980,1980,626,626,GasA,626,591,1217,1,6,1,288,0,2009,120000.00
60,8880,SawyerW,7,5,1994,2002,253,948,GasA,1222,888,2110,2,8,2,463,0,2010,205000.00
20,10400,NWAmes,7,5,1988,1988,916,1845,GasA,1872,0,1872,2,6,2,604,197,2006,241500.00
190,9142,OldTown,6,8,1910,1950,1020,1020,GasA,908,1020,1928,2,9,1,440,0,2006,137000.00
20,11310,NAmes,6,5,1954,1954,1367,1367,GasA,1375,0,1375,1,5,2,451,0,2006,140000.00
60,11317,CollgCr,7,5,2003,2003,840,840,GasA,840,828,1668,2,8,2,500,144,2007,180000.00
